review_title,rating,review_text,author,date,verified_purchase
"Excelente SSD, com bom custo-benefício.",5,Produto conforme anunciado e funcionando perfeitamente.,N/A,Avaliado no Brasil em 17 de ag,Nao
Bom produto,5,Chegou antes do prazo. Instalado e funcionando perfeitamente. Muito rápido.,N/A,Avaliado no Brasil em 18 de se,Nao
Mais velocidade,5,Excelente. Melhorou muito a velocidade do meu notebook. Valeu a pena.,N/A,Avaliado no Brasil em 19 de se,Nao
E barato e bom,5,Bom produto,N/A,Avaliado no Brasil em 15 de se,Nao
"Estou usando há menos de 1 mês, até agora sem problemas",5,Tem mostrado bom desempenho e velocidade bem superior ao SSD do tipo SATA que eu utilizava.,N/A,Avaliado no Brasil em 22 de se,Nao
Produto de qualidade e entrega super rápida,5,"Produto de qualidade, sai de um hd mecanico para esse, a diferença é surreal, pc tá um foguete agora, meu único problema foi para reconhecê-lo, tive que atualizar a bios, porém depois disso já foi direto, recebi em 2 dias, recomendo",N/A,Avaliado no Brasil em 25 de ag,Nao
timo produto,4,"Qualidade boa, porém os componentes ficam expostos diferente da foto do produto",N/A,Avaliado no Brasil em 10 de se,Nao
Operando ja faz tempo! Recomendo!,5,"TOP!!
Super satisfeito!",N/A,Avaliado no Brasil em 10 de se,Nao
,5,,N/A,Avaliado na Arábia Saudita em,Nao
great price per performance,5,"Good drive, nice price and budget",N/A,Avaliado nos Estados Unidos em,Nao
